iter	RMSE
0	38.52230561
1	38.33889347
2	38.16872254
3	37.99121977
4	37.81404301
5	37.64995465
6	37.48106391
7	37.31841048
8	37.16565525
9	37.01067687
10	36.86545432
11	36.71066854
12	36.55135554
13	36.39665539
14	36.25562196
15	36.10419423
16	35.95516809
17	35.81707558
18	35.67653846
19	35.53225482
20	35.40050685
21	35.26493913
22	35.12775996
23	34.99774236
24	34.87021661
25	34.7346223
26	34.60287924
27	34.47887538
28	34.35623409
29	34.23157829
30	34.11725471
31	34.0011897
32	33.88488801
33	33.7685739
34	33.65573237
35	33.54435133
36	33.43361033
37	33.32018832
38	33.21113589
39	33.10221886
40	32.99489811
41	32.89418387
42	32.79106789
43	32.68910223
44	32.59105354
45	32.49449534
46	32.39372195
47	32.29782359
48	32.19954328
49	32.10516996
50	32.01577872
51	31.92560259
52	31.83036688
53	31.74808912
54	31.66512374
55	31.58059859
56	31.49139096
57	31.40395716
58	31.32357083
59	31.23765154
60	31.15618646
61	31.0829214
62	31.00878213
63	30.93050276
64	30.85631049
65	30.78144049
66	30.70548961
67	30.62889073
68	30.55776315
69	30.4872372
70	30.41719388
71	30.34796589
72	30.28554438
73	30.2187169
74	30.15103148
75	30.08526384
76	30.02661361
77	29.96054087
78	29.8959507
79	29.83420611
80	29.77577802
81	29.71503496
82	29.65773386
83	29.59975275
84	29.54162429
85	29.48381201
86	29.42434955
87	29.3732889
88	29.32365818
89	29.27246634
90	29.22130092
91	29.17221195
92	29.12024095
93	29.07047426
94	29.02046798
95	28.96939938
96	28.91779167
97	28.87177358
98	28.82402911
99	28.77665151
100	28.73343746
101	28.68914068
102	28.64806118
103	28.60479868
104	28.55975279
105	28.51614208
106	28.47297244
107	28.43027779
108	28.39022214
109	28.3471097
110	28.30790294
111	28.26536323
112	28.22600251
113	28.189809
114	28.15446241
115	28.11646369
116	28.07970398
117	28.04069107
118	28.00748975
119	27.97447932
120	27.94104937
121	27.90794104
122	27.87225912
123	27.83778869
124	27.80360189
125	27.77079678
126	27.73762353
127	27.70601809
128	27.67126647
129	27.63846684
130	27.60814272
131	27.57572544
132	27.54828826
133	27.51909934
134	27.48984576
135	27.46319502
136	27.43553256
137	27.41046921
138	27.38018023
139	27.34920124
140	27.32001
141	27.29376672
142	27.2703927
143	27.24481866
144	27.21611746
145	27.18971848
146	27.16203542
147	27.13720261
148	27.11227105
149	27.08658038
150	27.06891415
151	27.04709683
152	27.02113351
153	26.99746245
154	26.978471
155	26.95604656
156	26.93242671
157	26.911738
158	26.88894571
159	26.86589535
160	26.84471015
161	26.82178459
162	26.80033749
163	26.77974522
164	26.76137959
165	26.74101487
166	26.72267707
167	26.70502483
168	26.68627569
169	26.66605211
170	26.64785611
171	26.62968415
172	26.61310442
173	26.59177234
174	26.57896625
175	26.56151027
176	26.54436104
177	26.52448953
178	26.50721306
179	26.48987928
180	26.47159938
181	26.45835528
182	26.44158472
183	26.42509136
184	26.40775755
185	26.39390954
186	26.37554733
187	26.3591855
188	26.34312844
189	26.32775595
190	26.31261313
191	26.29770544
192	26.28332012
193	26.26762049
194	26.25439414
195	26.24078237
196	26.22543633
197	26.20923444
198	26.19673047
199	26.18455538
200	26.17053144
201	26.15772017
202	26.14422074
203	26.13089972
204	26.11745828
205	26.10239801
206	26.08836172
207	26.07537144
208	26.0606196
209	26.04803542
210	26.03443543
211	26.02269385
212	26.01217675
213	25.9945514
214	25.98090318
215	25.96631909
216	25.95483944
217	25.94221309
218	25.92923926
219	25.91973047
220	25.90910975
221	25.8991185
222	25.88869711
223	25.87674918
224	25.86437423
225	25.85289795
226	25.83915766
227	25.83017563
228	25.81839178
229	25.80718751
230	25.79585073
231	25.78305482
232	25.77302817
233	25.76169777
234	25.75211257
235	25.74374879
236	25.73609374
237	25.72594475
238	25.71261163
239	25.70371102
240	25.68832326
241	25.68037013
242	25.66946253
243	25.65941196
244	25.6499043
245	25.64092476
246	25.63179316
247	25.62281309
248	25.61270694
249	25.60091039
250	25.59170265
251	25.58573084
252	25.57745164
253	25.57087648
254	25.56129781
255	25.55224635
256	25.54367672
257	25.53769465
258	25.52498748
259	25.51573263
260	25.5128311
261	25.5039821
262	25.49592616
263	25.48519474
264	25.47131902
265	25.46472646
266	25.45588121
267	25.44731195
268	25.43734561
269	25.42725285
270	25.41763259
271	25.40997515
272	25.39905844
273	25.39065981
274	25.38277723
275	25.37595951
276	25.36932878
277	25.36210171
278	25.34918278
279	25.34347716
280	25.33440325
281	25.32599148
282	25.31724402
283	25.30703669
284	25.2984126
285	25.2874437
286	25.27967426
287	25.27418117
288	25.26749839
289	25.25667604
290	25.25179147
291	25.24423689
292	25.23742986
293	25.22924944
294	25.22240994
295	25.22029356
296	25.21190772
297	25.20633787
298	25.19866674
299	25.19353521
300	25.18547289
301	25.17942236
302	25.17120696
303	25.16418703
304	25.15934591
305	25.15174431
306	25.14356249
307	25.13693507
308	25.13031485
309	25.12354421
310	25.11670675
311	25.10977263
312	25.10496424
313	25.09886763
314	25.09011643
315	25.08495966
316	25.08111433
317	25.0763337
318	25.07130653
319	25.06571889
320	25.06046646
321	25.053349
322	25.04818456
323	25.04251362
324	25.0372601
325	25.03117915
326	25.02331487
327	25.01679781
328	25.01315869
329	25.00978634
330	25.00433005
331	24.99539397
332	24.99116501
333	24.9852085
334	24.97789426
335	24.97191207
336	24.96659181
337	24.96222249
338	24.95657486
339	24.95049851
340	24.94309355
341	24.93742334
342	24.93256712
343	24.92484931
344	24.92140761
345	24.91482152
346	24.91006722
347	24.90582238
348	24.89963316
349	24.89494363
350	24.88819011
351	24.88420353
352	24.88048096
353	24.87389333
354	24.86987461
355	24.86490193
356	24.85921179
357	24.85227134
358	24.84316203
359	24.83641737
360	24.83027731
361	24.82797935
362	24.8196229
363	24.81481089
364	24.80801543
365	24.80121578
366	24.79441029
367	24.78888636
368	24.78525452
369	24.77972053
370	24.77375756
371	24.7647633
372	24.75513627
373	24.74874484
374	24.74240925
375	24.73861798
376	24.73337134
377	24.72886425
378	24.72011812
379	24.71489352
380	24.70889961
381	24.70373198
382	24.69915839
383	24.69422442
384	24.68970523
385	24.68182896
386	24.675697
387	24.67285913
388	24.66894077
389	24.66422863
390	24.65922504
391	24.65537823
392	24.64825807
393	24.64185235
394	24.63710903
395	24.6319928
396	24.62540387
397	24.61768566
398	24.61392933
399	24.61080314
400	24.60416379
401	24.59864271
402	24.59517337
403	24.5920525
404	24.58853796
405	24.58208643
406	24.5787733
407	24.57425929
408	24.56865572
409	24.56480792
410	24.55953619
411	24.55533555
412	24.54874455
413	24.54549108
414	24.54170547
415	24.53911169
416	24.53607409
417	24.53054925
418	24.52513117
419	24.51745374
420	24.515398
421	24.51073514
422	24.50344399
423	24.49938795
424	24.49555845
425	24.48971785
426	24.48633963
427	24.48313224
428	24.47821365
429	24.47315291
430	24.47098528
431	24.46778936
432	24.46460848
433	24.46077036
434	24.45294809
435	24.4492918
436	24.44688189
437	24.44096525
438	24.43835991
439	24.43269217
440	24.42824441
441	24.42365759
442	24.41878131
443	24.41456618
444	24.41342715
445	24.40964451
446	24.4039702
447	24.40124066
448	24.39447415
449	24.38896841
450	24.38195985
451	24.3782411
452	24.37437393
453	24.37189821
454	24.37002625
455	24.36627472
456	24.36216384
457	24.35651958
458	24.35112346
459	24.34725979
460	24.33929242
461	24.33529071
462	24.3315455
463	24.32662245
464	24.32158719
465	24.31810777
466	24.31160021
467	24.30888261
468	24.30701748
469	24.30420666
470	24.29892111
471	24.29230354
472	24.28931459
473	24.28591157
474	24.28221225
475	24.27751103
476	24.27363245
477	24.26635822
478	24.2643202
479	24.25878438
480	24.25532212
481	24.25325577
482	24.24923575
483	24.24673345
484	24.24419463
485	24.24211444
486	24.23969326
487	24.23550944
488	24.23204622
489	24.22973539
490	24.22420824
491	24.2206293
492	24.21657071
493	24.21308665
494	24.21071435
495	24.20771502
