iter	Passed	Remaining
0	3	3204
1	5	2795
2	7	2588
3	9	2468
4	12	2416
5	14	2428
6	16	2395
7	19	2357
8	21	2338
9	23	2311
10	25	2282
11	27	2265
12	29	2258
13	32	2276
14	34	2284
15	37	2288
16	39	2283
17	41	2275
18	43	2267
19	46	2260
20	48	2251
21	50	2262
22	53	2266
23	55	2267
24	58	2268
25	60	2265
26	62	2256
27	64	2251
28	67	2249
29	69	2249
30	71	2247
31	74	2243
32	76	2235
33	78	2232
34	80	2229
35	82	2220
36	85	2214
37	87	2215
38	90	2218
39	92	2212
40	94	2211
41	96	2210
42	99	2206
43	101	2200
44	103	2198
45	106	2206
46	108	2206
47	111	2204
48	113	2201
49	115	2200
50	118	2198
51	120	2192
52	122	2187
53	124	2184
54	127	2183
55	129	2179
56	131	2178
57	134	2177
58	136	2172
59	138	2168
60	140	2163
61	142	2161
62	145	2161
63	147	2158
64	149	2155
65	152	2152
66	154	2148
67	156	2144
68	158	2140
69	161	2140
70	163	2140
71	165	2138
72	168	2134
73	170	2131
74	172	2130
75	175	2129
76	177	2123
77	179	2119
78	181	2119
79	184	2116
80	186	2111
81	188	2107
82	190	2106
83	193	2104
84	195	2100
85	197	2097
86	199	2095
87	202	2096
88	205	2100
89	207	2098
90	209	2094
91	211	2090
92	213	2086
93	216	2083
94	218	2084
95	221	2082
96	223	2079
97	225	2075
98	227	2073
99	230	2071
100	232	2068
101	234	2065
102	237	2064
103	239	2064
104	241	2062
105	244	2060
106	246	2061
107	249	2062
108	252	2061
109	254	2061
110	257	2064
111	260	2062
112	262	2063
113	265	2063
114	268	2063
115	270	2062
116	273	2063
117	276	2066
118	279	2066
119	281	2064
120	284	2064
121	286	2060
122	288	2058
123	291	2057
124	293	2056
125	296	2053
126	298	2050
127	300	2047
128	302	2044
129	305	2041
130	307	2038
131	309	2035
132	312	2033
133	314	2030
134	316	2026
135	318	2022
136	320	2021
137	322	2017
138	325	2014
139	327	2011
140	329	2010
141	332	2010
142	335	2008
143	337	2005
144	339	2002
145	341	1999
146	343	1995
147	346	1992
148	348	1991
149	350	1988
150	352	1981
151	354	1978
152	356	1975
153	359	1974
154	361	1971
155	364	1969
156	366	1968
157	368	1965
158	371	1962
159	373	1958
160	375	1957
161	377	1954
162	380	1953
163	382	1951
164	384	1948
165	387	1945
166	389	1942
167	391	1940
168	394	1938
169	396	1935
170	398	1932
171	400	1929
172	403	1927
173	405	1926
174	407	1923
175	410	1920
176	412	1917
177	414	1914
178	416	1911
179	418	1908
180	421	1905
181	423	1904
182	426	1902
183	428	1898
184	430	1895
185	432	1892
186	435	1891
187	437	1888
188	439	1885
189	441	1883
190	444	1881
191	446	1878
192	448	1875
193	450	1873
194	453	1871
195	455	1867
196	457	1864
197	459	1861
198	461	1859
199	464	1856
200	466	1854
201	468	1852
202	470	1849
203	473	1847
204	475	1844
205	478	1842
206	480	1840
207	482	1837
208	484	1834
209	486	1831
210	489	1828
211	491	1825
212	493	1822
213	495	1819
214	497	1817
215	499	1814
216	502	1813
217	504	1809
218	507	1809
219	509	1806
220	511	1803
221	513	1800
222	515	1797
223	518	1795
224	520	1793
225	522	1791
226	525	1788
227	527	1786
228	529	1782
229	531	1779
230	533	1777
231	536	1775
232	539	1774
233	541	1771
234	543	1769
235	546	1767
236	548	1765
237	550	1762
238	552	1760
239	555	1758
240	557	1755
241	559	1752
242	561	1749
243	563	1746
244	565	1744
245	568	1741
246	570	1738
247	572	1736
248	575	1734
249	577	1732
250	579	1729
251	582	1727
252	584	1724
253	586	1721
254	588	1718
255	590	1716
256	592	1714
257	595	1711
258	597	1708
259	599	1705
260	600	1700
261	602	1697
262	604	1694
263	607	1693
264	610	1692
265	612	1690
266	614	1687
267	616	1684
268	618	1681
269	621	1679
270	623	1676
271	625	1673
272	627	1671
273	630	1669
274	632	1668
275	643	1687
276	646	1688
277	652	1694
278	655	1694
279	658	1693
280	661	1692
281	664	1691
282	668	1693
283	671	1692
284	674	1692
285	677	1690
286	679	1688
287	681	1685
288	685	1686
289	689	1689
290	692	1687
291	694	1684
292	696	1681
293	698	1678
294	700	1674
295	701	1669
296	704	1666
297	706	1663
298	708	1660
299	710	1657
300	712	1654
301	714	1651
302	716	1648
303	718	1645
304	720	1642
305	723	1640
306	725	1637
307	727	1635
308	729	1632
309	732	1629
310	736	1632
311	738	1629
312	741	1626
313	743	1623
314	745	1621
315	747	1618
316	749	1615
317	751	1612
318	753	1609
319	755	1606
320	757	1602
321	760	1600
322	762	1598
323	764	1595
324	767	1593
325	769	1590
326	771	1587
327	773	1584
328	775	1581
329	777	1578
330	779	1576
331	781	1573
332	784	1570
333	786	1567
334	788	1564
335	790	1562
336	792	1559
337	794	1556
338	796	1553
339	799	1551
340	801	1548
341	803	1545
342	805	1542
343	807	1540
344	810	1538
345	812	1535
346	814	1532
347	816	1530
348	818	1527
349	820	1524
350	823	1522
351	825	1520
352	828	1517
353	830	1514
354	832	1511
355	834	1509
356	836	1506
357	838	1504
358	841	1501
359	843	1499
360	845	1496
361	847	1493
362	849	1490
363	851	1487
364	853	1485
365	856	1483
366	858	1480
367	860	1477
368	862	1474
369	864	1472
370	866	1469
371	868	1466
372	871	1464
373	873	1461
374	875	1459
375	877	1456
376	879	1454
377	881	1451
378	884	1448
379	886	1445
380	888	1443
381	890	1441
382	893	1439
383	895	1436
384	898	1434
385	900	1432
386	902	1429
387	904	1426
388	906	1423
389	908	1421
390	911	1419
391	913	1417
392	915	1414
393	917	1411
394	920	1409
395	922	1406
396	924	1404
397	926	1401
398	929	1399
399	931	1397
400	933	1394
401	935	1392
402	938	1389
403	940	1387
404	942	1384
405	944	1382
406	946	1379
407	948	1376
408	951	1374
409	952	1371
410	955	1368
411	957	1366
412	959	1363
413	961	1360
414	963	1358
415	965	1356
416	968	1353
417	970	1351
418	972	1348
419	974	1346
420	976	1343
421	978	1340
422	980	1338
423	983	1336
424	985	1333
425	988	1331
426	990	1329
427	992	1326
428	994	1324
429	997	1322
430	1000	1320
431	1002	1318
432	1004	1315
433	1006	1313
434	1009	1310
435	1011	1308
436	1014	1306
437	1016	1303
438	1018	1301
439	1020	1298
440	1022	1296
441	1025	1294
442	1027	1291
443	1029	1289
444	1031	1286
445	1033	1283
446	1035	1281
447	1038	1279
448	1040	1277
449	1043	1274
450	1045	1272
451	1047	1270
452	1050	1268
453	1052	1266
454	1055	1263
455	1057	1261
456	1059	1259
457	1062	1257
458	1064	1254
459	1067	1252
460	1069	1250
461	1072	1248
462	1074	1246
463	1077	1244
464	1079	1241
465	1081	1239
466	1083	1237
467	1086	1235
468	1088	1232
469	1090	1230
470	1092	1227
471	1095	1225
472	1097	1222
473	1099	1220
474	1101	1217
475	1104	1215
476	1106	1213
477	1108	1210
478	1110	1208
479	1113	1206
480	1115	1203
481	1117	1201
482	1119	1198
483	1122	1196
484	1124	1193
485	1126	1191
486	1128	1188
487	1130	1186
488	1132	1183
489	1135	1181
490	1137	1179
491	1139	1176
492	1141	1173
493	1143	1171
494	1146	1169
495	1148	1166
496	1150	1164
497	1153	1162
498	1155	1160
499	1157	1157
500	1159	1155
501	1161	1152
502	1164	1150
503	1166	1147
504	1168	1145
505	1170	1142
506	1172	1140
507	1175	1138
508	1177	1135
509	1179	1133
510	1181	1130
511	1183	1128
512	1185	1125
513	1188	1123
514	1191	1121
515	1193	1119
516	1195	1117
517	1198	1114
518	1200	1112
519	1202	1110
520	1204	1107
521	1207	1105
522	1209	1103
523	1211	1100
524	1213	1098
525	1216	1096
526	1218	1093
527	1220	1091
528	1222	1088
529	1225	1086
530	1227	1084
531	1229	1081
532	1231	1079
533	1233	1076
534	1236	1074
535	1238	1071
536	1240	1069
537	1242	1067
538	1245	1064
539	1247	1062
540	1249	1060
541	1251	1057
542	1253	1055
543	1255	1052
544	1257	1050
545	1260	1047
546	1262	1045
547	1264	1043
548	1266	1040
549	1268	1038
550	1270	1035
551	1273	1033
552	1275	1030
553	1277	1028
554	1279	1025
555	1281	1023
556	1284	1021
557	1286	1018
558	1288	1016
559	1291	1014
560	1293	1012
561	1296	1010
562	1298	1007
563	1300	1005
564	1302	1002
565	1304	1000
566	1306	997
567	1308	995
568	1310	993
569	1313	990
570	1315	988
571	1317	986
572	1320	983
573	1322	981
574	1324	978
575	1326	976
576	1328	973
577	1330	971
578	1332	969
579	1334	966
580	1337	964
581	1339	961
582	1341	959
583	1343	957
584	1345	954
585	1348	952
586	1350	949
587	1352	947
588	1354	945
589	1356	942
590	1359	940
591	1361	938
592	1363	935
593	1365	933
594	1367	930
595	1369	928
596	1371	926
597	1373	923
598	1376	921
599	1378	919
600	1380	916
601	1382	914
602	1385	912
603	1388	910
604	1390	907
605	1392	905
606	1394	903
607	1397	900
608	1399	898
609	1401	896
610	1403	893
611	1405	891
612	1408	888
613	1410	886
614	1412	884
615	1418	884
616	1423	883
617	1426	881
618	1429	879
619	1431	877
620	1434	875
621	1436	873
622	1439	871
623	1442	869
624	1445	867
625	1449	865
626	1451	863
627	1454	861
628	1456	859
629	1458	856
630	1461	854
631	1463	852
632	1466	850
633	1470	848
634	1472	846
635	1474	844
636	1476	841
637	1479	839
638	1481	836
639	1483	834
640	1485	832
641	1488	829
642	1490	827
643	1492	824
644	1494	822
645	1496	820
646	1498	817
647	1501	815
648	1503	813
649	1505	810
650	1508	808
651	1510	806
652	1512	803
653	1514	801
654	1516	798
655	1518	796
656	1521	794
657	1523	791
658	1525	789
659	1527	787
660	1529	784
661	1532	782
662	1534	779
663	1536	777
664	1538	774
665	1540	772
666	1542	770
667	1545	768
668	1547	765
669	1549	763
670	1551	760
671	1553	758
672	1556	756
673	1558	753
674	1560	751
675	1562	748
676	1564	746
677	1566	744
678	1568	741
679	1571	739
680	1573	737
681	1575	734
682	1578	732
683	1580	730
684	1582	727
685	1584	725
686	1587	723
687	1589	721
688	1592	718
689	1594	716
690	1597	714
691	1599	711
692	1602	709
693	1604	707
694	1606	705
695	1609	702
696	1611	700
697	1613	698
698	1616	695
699	1618	693
700	1620	691
701	1623	689
702	1625	686
703	1627	684
704	1630	682
705	1633	680
706	1635	677
707	1638	675
708	1640	673
709	1642	671
710	1645	668
711	1647	666
712	1649	664
713	1652	661
714	1654	659
715	1656	657
716	1658	654
717	1661	652
718	1663	650
719	1665	647
720	1667	645
721	1669	642
722	1672	640
723	1674	638
724	1676	635
725	1678	633
726	1680	631
727	1682	628
728	1684	626
729	1686	623
730	1689	621
731	1691	619
732	1693	617
733	1695	614
734	1698	612
735	1700	609
736	1702	607
